Phonetic,Word,Example,Audio_url
[i],eat,Let's eat out tonight.,data/audio/i_eat.MP3
[i],need,I need your help.,data/audio/i_need.MP3
[i],thief,They caught the thief.,data/audio/i_thief.MP3
[ɪ],sit,Sit down please.,data/audio/ɪ_sit.MP3
[ɪ],fit,This shirt doesn't fit me.,data/audio/ɪ_fit.MP3
[ɪ],give,Give me a kiss.,data/audio/ɪ_give.MP3
[e],lake,He lives by the lake.,data/audio/e_lake.MP3
[e],make,I'll make coffee for you.,data/audio/e_make.MP3
[e],later,I'll be back later.,data/audio/e_later.MP3
[ɛ],bed,You should go to bed.,data/audio/ɛ_bed.MP3
[ɛ],let,Let me go.,data/audio/ɛ_let.MP3
[ɛ],pen,Can I use your pen.,data/audio/ɛ_pen.MP3
[æ],bad,He is a bad boy.,data/audio/æ_bad.MP3
[æ],dad,My dad speaks English well.,data/audio/æ_dad.MP3
[æ],matter,What's the matter with him?,data/audio/æ_matter.MP3
[ɑ],lock,Lock the door please.,data/audio/ɑ_lock.MP3
[ɑ],hot,It's very hot today.,data/audio/ɑ_hot.MP3
[ɑ],stop,Stop crying!,data/audio/ɑ_stop.MP3
[ɑr],hard,The lesson is not hard.,data/audio/ɑr_hard.MP3
[ɑr],artist,His sister is an artist.,data/audio/ɑr_artist.MP3
[ɑr],far,I live far away from him.,data/audio/ɑr_far.MP3
[ɔ],law,You should obey the law.,data/audio/ɔ_law.MP3
[ɔ],saw,Where can I buy this saw?,data/audio/ɔ_saw.MP3
[ɔ],hall,I'll meet you at the hall.,data/audio/ɔ_hall.MP3
[ɔr],born,He was born two years ago.,data/audio/ɔr_born.MP3
[ɔr],for,I did it for you.,data/audio/ɔr_for.MP3
[ɔr],warning,You should listen to his warning.,data/audio/ɔr_warning.MP3
[ɔɪ],boy,The boy is angry.,data/audio/ɔɪ_boy.MP3
[ɔɪ],toy,He bought me a toy.,data/audio/ɔɪ_toy.MP3
[ɔɪ],soil,The soil is rich.,data/audio/ɔɪ_soil.MP3
[o],coat,Put on your coat.,data/audio/o_coat.MP3
[o],soap,Use soap to wash your hands.,data/audio/o_soap.MP3
[o],open,Open the door will you?,data/audio/o_open.MP3
[u],too,He is happy too.,data/audio/u_too.MP3
[u],mood,She is in a bad mood.,data/audio/u_mood.MP3
[u],food,Do you enjoy the food?,data/audio/u_food.MP3
[ʊ],book,Whose book is this?,data/audio/ʊ_book.MP3
[ʊ],good,His English is very good.,data/audio/ʊ_good.MP3
[ʊ],would,Would you do me a favor?,data/audio/ʊ_would.MP3
[ʊr],tour,We'll tour the city today.,data/audio/ʊr_tour.MP3
[ʊr],your,How's your father?,data/audio/ʊr_your.MP3
[ʊr],poor,He is poor but happy.,data/audio/ʊr_poor.MP3
[ʌ],bus,The bus is coming,data/audio/ʌ_bus.MP3
[ʌ],money,I need more money.,data/audio/ʌ_money.MP3
[ʌ],tough,I don't think the job is tough.,data/audio/ʌ_tough.MP3
[ə],ago,He left home two hours ago.,data/audio/ə_ago.MP3
[ə],seven,There are seven members in my family.,data/audio/ə_seven.MP3
[ə],sofa,There is a sofa by the window.,data/audio/ə_sofa.MP3
[ʌr],bird,I see a bird in the cage.,data/audio/ʌr_bird.MP3
[ʌr],her,Her sister loves music very much.,data/audio/ʌr_her.MP3
[ʌr],worry,Don't worry about me.,data/audio/ʌr_worry.MP3
[ər],letter,Don't forget to mail this letter.,data/audio/ər_letter.MP3
[ər],temper,She has a very bad temper.,data/audio/ər_temper.MP3
[ər],nature,I'm a nature lover.,data/audio/ər_nature.MP3
[aɪ],life,They led a happy life.,data/audio/aɪ_life.MP3
[aɪ],child,The child never studies.,data/audio/aɪ_child.MP3
[aɪ],idea,That sounds like a good idea.,data/audio/aɪ_idea.MP3
[aʊ],down,Walk down the street and turn left.,data/audio/aʊ_down.MP3
[aʊ],how,How are you?,data/audio/aʊ_how.MP3
[aʊ],house,The house is made of wood.,data/audio/aʊ_house.MP3
[ɛr],dare,I dare not try it.,data/audio/ɛr_dare.MP3
[ɛr],air,The air is fresh here.,data/audio/ɛr_air.MP3
[ɛr],careful,Be careful when you cross the street,data/audio/ɛr_careful.MP3
[ɪr],here,There is a tree here.,data/audio/ɪr_here.MP3
[ɪə],idea,I have no idea where he is.,data/audio/ɪə_idea.MP3
[iə],real,Tell me the real reason.,data/audio/iə_real.MP3
[p],put,Put the book on the desk.,data/audio/p_put.MP3
[p],pass,Pass me the salt please.,data/audio/p_pass.MP3
[p],keep,Keep the change.,data/audio/p_keep.MP3
[b],boy,The boy loves his father very much.,data/audio/b_boy.MP3
[b],before,Look before you leap.,data/audio/b_before.MP3
[b],robber,I hate robbers.,data/audio/b_robber.MP3
[t],take,Take the garbage with you when you leave.,data/audio/t_take.MP3
[t],teacher,My teacher has a good command of English,data/audio/t_teacher.MP3
[t],hit,Don't hit me.,data/audio/t_hit.MP3
[d],day,How many days are there in a week?,data/audio/d_day.MP3
[d],under,Ted is hiding under the table.,data/audio/d_under.MP3
[d],red,His car is red; mine is green.,data/audio/d_red.MP3
[k],key,Where are my car keys?,data/audio/k_key.MP3
[k],cake,We bought a cake for his birthday.,data/audio/k_cake.MP3
[k],book,He wrote a book on music.,data/audio/k_book.MP3
[g],go,Let's go to the movies tonight.,data/audio/g_go.MP3
[g],forget,Don't forget to mail this letter.,data/audio/g_forget.MP3
[g],dog,He keeps a dog as a pet.,data/audio/g_dog.MP3
[f],food,The food is tasty.,data/audio/f_food.MP3
[f],left,Turn left and go straight ahead.,data/audio/f_left.MP3
[f],wife,My wife cooks well.,data/audio/f_wife.MP3
[v],very,I feel very tired today.,data/audio/v_very.MP3
[v],never,He never tells lies.,data/audio/v_never.MP3
[v],give,Give me a kiss honey.,data/audio/v_give.MP3
[θ],thank,Thank you very much for your help.,data/audio/θ_thank.MP3
[θ],healthy,He jogs every day to stay healthy.,data/audio/θ_healthy.MP3
[θ],both,Both he and I are students.,data/audio/θ_both.MP3
[ð],that,This is good but that is bad.,data/audio/ð_that.MP3
[ð],father,His father and mother are coming this week,data/audio/ð_father.MP3
[ð],with,Nobody likes to work with him.,data/audio/ð_with.MP3
[s],see,See you later.,data/audio/s_see.MP3
[s],ask,May I ask you a question?,data/audio/s_ask.MP3
[s],class,We don't have any class today.,data/audio/s_class.MP3
[z],zebra,Have you seen a zebra before?,data/audio/z_zebra.MP3
[z],busy,The line is busy.,data/audio/z_busy.MP3
[z],is,Is he free now?,data/audio/z_is.MP3
[ʃ],ship,I see a ship there.,data/audio/ʃ_ship.MP3
[ʃ],show,Could you show me the way to the station?,data/audio/ʃ_show.MP3
[ʃ],sure,I'm sure she can do that.,data/audio/ʃ_sure.MP3
[ʒ],pleasure,It's a pleasure to meet you.,data/audio/ʒ_pleasure.MP3
[ʒ],usual,He was late again as usual.,data/audio/ʒ_usual.MP3
[ʒ],television,I seldom watch television.,data/audio/ʒ_television.MP3
[tʃ],church,He goes to church every Sunday.,data/audio/tʃ_church.MP3
[tʃ],chase,He does nothing but chase girls all day.,data/audio/tʃ_chase.MP3
[tʃ],teach,Which class do you teach?,data/audio/tʃ_teach.MP3
[dʒ],joke,He likes to tell jokes.,data/audio/dʒ_joke.MP3
[dʒ],danger,The boy is in danger.,data/audio/dʒ_danger.MP3
[dʒ],strange,His behavior is strange.,data/audio/dʒ_strange.MP3
[m],me,Tell me the truth,data/audio/m_me.MP3
[m],woman,She is a beautiful woman.,data/audio/m_woman.MP3
[m],time,What time is it now?,data/audio/m_time.MP3
[n],name,May I have your name please?,data/audio/n_name.MP3
[n],number,I forgot my phone number.,data/audio/n_number.MP3
[n],son,My son is your fan.,data/audio/n_son.MP3
[ŋ],bring,Bring me the book next time you come.,data/audio/ŋ_bring.MP3
[ŋ],drink,Would you care for a drink?,data/audio/ŋ_drink.MP3
[ŋ],think,What are you thinking?,data/audio/ŋ_think.MP3
[l],long,How long have you studied English?,data/audio/l_long.MP3
[l],call,Call me when you are free.,data/audio/l_call.MP3
[l],look,It looks like rain.,data/audio/l_look.MP3
[r],read,Can you read this word?,data/audio/r_read.MP3
[r],red,I like the red car over there.,data/audio/r_red.MP3
[r],part,Part of the answer is right.,data/audio/r_part.MP3
[j],you,You can do it can't you?,data/audio/j_you.MP3
[j],yes,Yes I can.,data/audio/j_yes.MP3
[j],young,She is young and beautiful.,data/audio/j_young.MP3
[h],he,He plays tennis very well.,data/audio/h_he.MP3
[h],hat,Take off your hat please.,data/audio/h_hat.MP3
[h],hot,It's very hot today.,data/audio/h_hot.MP3
[w],wood,The table is made of wood.,data/audio/w_wood.MP3
[w],wind,The wind is strong today.,data/audio/w_wind.MP3
[w],work,I don't have any work to do.,data/audio/w_work.MP3
